日付,製品カテゴリ,地域,売上高(万円),利益(万円),販売数量,顧客満足度
2024-01-15,電化製品,東日本,120,35,45,4.2
2024-01-20,家具,西日本,85,20,30,3.8
2024-02-10,電化製品,西日本,150,45,60,4.5
2024-02-14,衣料品,東日本,65,15,80,4.0
2024-03-01,家具,東日本,95,25,35,3.9
2024-03-15,電化製品,北日本,200,60,75,4.8
2024-03-22,衣料品,西日本,70,18,90,4.1
2024-04-05,食品,東日本,110,22,120,4.6
2024-04-18,家具,北日本,130,38,40,4.3
2024-05-02,電化製品,東日本,180,50,65,4.7
2024-05-12,食品,西日本,90,18,100,4.4
2024-05-25,衣料品,北日本,80,20,85,4.2
2024-06-10,食品,北日本,105,21,115,4.5
2024-06-20,電化製品,西日本,210,65,70,4.9
2024-06-30,家具,東日本,115,30,38,4.1
